project,owner,repo,sha,url,sloc,stars,age_years,commit_count,stmt_cov_pct,branch_cov_pct,notes
MartijnBraam-python-isc-dhcp-leases,MartijnBraam,python-isc-dhcp-leases,e4969dd72994f70d9034572e14873f0169a6662c,https://github.com/MartijnBraam/python-isc-dhcp-leases.git,673,127,11.6,115,22.8,10.4,
MateoRamirezRubio1-mini-blog-rest-api,MateoRamirezRubio1,mini-blog-rest-api,3f7b52b,https://github.com/MateoRamirezRubio1/mini-blog-rest-api.git,1174,1,1.5,11,25.1,12.0,
MattParr-python-atws,MattParr,python-atws,764f93a35982c49066f03354c79670d7defe0bb7,https://github.com/MattParr/python-atws.git,2460,33,12.4,267,24.4,12.0,
MaxiSim-Tp4_33661_34334_34337_34498,MaxiSim,Tp4_33661_34334_34337_34498,63aa026,https://github.com/MaxiSim/Tp4_33661_34334_34337_34498.git,10756,2,3.6,66,23.3,13.3,
Md-Emon-Hasan-AI-From-University,Md-Emon-Hasan,AI-From-University,2a54f8c,https://github.com/Md-Emon-Hasan/AI-From-University.git,7479,1,1.3,13,22.0,12.4,
Melevir-flake8-obey-import-goat,Melevir,flake8-obey-import-goat,96e5959,https://github.com/Melevir/flake8-obey-import-goat.git,332,17,4.0,15,21.1,9.2,
MicaelJarniac-BuildURL,MicaelJarniac,BuildURL,6284ff5,https://github.com/MicaelJarniac/BuildURL.git,991,4,4.9,55,99.0,93.5,
MichaelisTrofficus-gpt4docstrings,MichaelisTrofficus,gpt4docstrings,518ee7732eb9b28b01466a05c137cc0913f07ce4,https://github.com/MichaelisTrofficus/gpt4docstrings.git,2105,126,2.6,120,48.6,13.7,coverage_failed
MikeSchapp-BabyScout,MikeSchapp,BabyScout,5725e4b,https://github.com/MikeSchapp/BabyScout.git,799,20,3.4,138,22.9,10.5,
Moglius-deploy-aws-stuff,Moglius,deploy-aws-stuff,c47a79b,https://github.com/Moglius/deploy-aws-stuff.git,2869,1,2.5,423,22.5,13.1,
MrBlenny-py-d2,MrBlenny,py-d2,41754e60ff261ae12fb02c9ff4aaccef30437d0b,https://github.com/MrBlenny/py-d2.git,1353,89,3.1,36,22.9,13.2,
Mustangodhra-xmltoxsd,Mustangodhra,xmltoxsd,1822a59,https://github.com/Mustangodhra/xmltoxsd.git,286,12,1.9,6,22.8,13.0,
